Ticker,Company Name,Fiscal Quarter,Datetime,Date,Time,Hour,Close,Earnings Date,Earnings Timing,Base Price,Hours From Earnings,Trading Day,Return From Earnings (%)
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 09:30:00,2025-12-17,09:30,9,47.46,2025-12-17,BMO,45.76,18.0,1,3.73
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 10:30:00,2025-12-17,10:30,10,46.76,2025-12-17,BMO,45.76,19.0,1,2.21
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 11:30:00,2025-12-17,11:30,11,48.09,2025-12-17,BMO,45.76,20.0,1,5.1
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 12:30:00,2025-12-17,12:30,12,47.74,2025-12-17,BMO,45.76,21.0,1,4.34
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 13:30:00,2025-12-17,13:30,13,47.83,2025-12-17,BMO,45.76,22.0,1,4.54
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 14:30:00,2025-12-17,14:30,14,47.68,2025-12-17,BMO,45.76,23.0,1,4.21
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-17 15:30:00,2025-12-17,15:30,15,48.23,2025-12-17,BMO,45.76,24.0,1,5.41
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-18 09:30:00,2025-12-18,09:30,9,45.61,2025-12-17,BMO,45.76,42.0,2,-0.32
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-18 10:30:00,2025-12-18,10:30,10,45.14,2025-12-17,BMO,45.76,43.0,2,-1.34
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-18 11:30:00,2025-12-18,11:30,11,43.76,2025-12-17,BMO,45.76,44.0,2,-4.36
ABM,ABM Industries Incorporated,Q4 FY25,2025-12-18 12:30:00,2025-12-18,12:30,12,43.16,2025-12-17,BMO,45.76,45.0,2,-5.67
